"Participant","Block","Condition","ConditionName","Task","Time","Distance","XDiff","YDiff","ZDiff"
"3","4",6,"Lights","18",5611.81,43.8657,40.52904,-3.0847,16.494
"3","4",6,"Lights","19",6511.34,28.2606,-21.9338,-10.2057,14.609
"3","4",6,"Lights","20",5419.35,22.8023,-20.6132,9.5942,1.72999999999999
"3","5",2,"Haptics+Lights","1",3643.34,25.6301,18.4561,-3.0477,-17.521
"3","5",2,"Haptics+Lights","2",2575.84,6.92966,6.20813,-2.73495,-1.41399999999999
"3","5",2,"Haptics+Lights","3",3850.93,16.7347,15.2775,-5.4315,4.14100000000002
"3","5",2,"Haptics+Lights","4",4474.05,10.2807,6.5153,-5.15853,6.05199999999999
"3","5",2,"Haptics+Lights","5",2766.38,10.6625,9.9782,-2.5047,-2.80199999999999
"3","5",2,"Haptics+Lights","6",3321.35,17.1751,7.86697,-4.5367,14.578
"3","5",2,"Haptics+Lights","7",3702.34,18.2759,9.17975,-3.1012,15.496
"3","5",2,"Haptics+Lights","8",3251.53,12.6375,10.55271,-2.97577,-6.28400000000002
"3","5",2,"Haptics+Lights","9",4395.77,7.45315,0.0398999999999994,7.45177,0.138000000000005
"3","5",2,"Haptics+Lights","10",4760.32,7.3773,3.45017,3.71505,5.35900000000001
"3","5",2,"Haptics+Lights","11",3867.33,23.1439,9.4065,-2.6478,20.98
"3","5",2,"Haptics+Lights","12",5966.02,15.0352,5.355,8.0313,11.527
"3","5",2,"Haptics+Lights","13",6218.71,8.92676,7.32061,-4.8395,1.636
"3","5",2,"Haptics+Lights","14",4023.74,21.202,9.5054,-5.999,17.977
"3","5",2,"Haptics+Lights","15",2930.89,8.65476,8.30655,-2.307,0.763000000000005
"3","5",2,"Haptics+Lights","16",4552.76,7.74352,7.0663,-2.3422,-2.13200000000001
"3","5",2,"Haptics+Lights","17",4448.33,16.9884,6.6081,-6.30877,14.323
"3","5",2,"Haptics+Lights","18",4092.64,9.38441,8.28654,-2.3568,3.721
"3","5",2,"Haptics+Lights","19",4683.1,19.1998,10.3896,-0.697300000000002,-16.131
"3","5",2,"Haptics+Lights","20",4414.79,16.854,7.8427,2.8415,14.645
"3","6",1,"Haptics","1",4162.01,44.7319,14.0084,-12.0426,40.739
"3","6",1,"Haptics","2",5792.16,42.017,7.75651,-3.91533,41.109
"3","6",1,"Haptics","3",6095.35,49.7523,7.33969999999999,-3.1692,49.106
"3","6",1,"Haptics","4",5531.68,74.8014,8.0699,5.47167,74.1632
"3","6",1,"Haptics","5",5237.63,32.2314,3.1471,-1.9869,32.016
"3","6",1,"Haptics","6",4899.31,9.99638,9.99465,-0.0736999999999988,-0.171000000000021
"3","6",1,"Haptics","7",3885.22,30.7194,1.37045,2.2993,30.602
"3","6",1,"Haptics","8",5992.14,65.0119,11.93866,5.0468,63.706
